Employee_ID,Age,Department,Job_Role,Years_At_Company,Monthly_Income,Job_Satisfaction,Performance_Rating,Attrition
EMP0082,29,HR,Specialist,2,8783,2,4,Yes
EMP0083,56,Finance,Analyst,14,10751,2,3,No
EMP0084,56,Sales,Technician,5,13602,4,4,No
EMP0085,54,Finance,Specialist,0,8628,2,4,No
EMP0086,26,Sales,Analyst,11,11328,1,3,Yes
EMP0087,49,R&D,Specialist,5,6360,2,3,No
EMP0088,28,Sales,Technician,3,6005,4,3,Yes
EMP0089,30,Sales,Director,7,6552,4,4,Yes
EMP0090,29,Finance,Technician,12,3018,1,3,No
EMP0091,33,R&D,Manager,10,5242,3,3,No
EMP0092,55,R&D,Specialist,8,9318,2,3,No
EMP0093,54,R&D,Specialist,3,8097,4,3,No
EMP0094,44,R&D,Manager,9,11640,2,3,No
EMP0095,45,Finance,Manager,11,4948,2,3,No
EMP0096,58,R&D,Director,9,12137,3,4,No
EMP0097,56,HR,Specialist,5,8618,4,4,No
EMP0098,43,Sales,Specialist,0,7236,2,4,No
EMP0099,48,Sales,Director,3,9901,4,3,No
EMP0100,56,Finance,Analyst,6,4920,1,3,No
EMP0101,22,Sales,Director,11,14169,1,3,Yes
EMP0102,56,Finance,Technician,14,7188,2,3,No
EMP0103,58,Sales,Specialist,0,3238,4,3,No
EMP0104,35,Sales,Manager,7,3204,2,3,No
EMP0105,24,IT,Technician,11,13799,4,3,No
EMP0106,22,R&D,Specialist,9,8552,4,4,Yes
EMP0107,26,R&D,Director,11,7927,3,3,No
EMP0108,47,Finance,Technician,10,14580,3,3,No
EMP0109,35,R&D,Specialist,5,14164,3,3,No
EMP0110,48,Finance,Analyst,4,7390,2,3,No
EMP0111,30,Sales,Analyst,9,5687,3,3,No
EMP0112,36,IT,Manager,10,7951,3,4,No
EMP0113,36,Finance,Specialist,14,9160,1,4,No
EMP0114,47,HR,Analyst,13,8388,4,4,No
EMP0115,34,IT,Director,8,12540,4,4,No
EMP0116,53,Sales,Specialist,1,8126,3,3,Yes
EMP0117,53,IT,Director,4,3816,4,3,No
EMP0118,25,R&D,Director,5,12012,1,3,Yes
EMP0119,51,Sales,Analyst,6,3192,1,3,No
EMP0120,58,R&D,Specialist,4,4776,3,3,No
EMP0121,44,Sales,Technician,8,6645,1,3,No
EMP0122,36,R&D,Analyst,0,9314,4,3,No
EMP0123,50,Finance,Analyst,6,11442,2,3,No
EMP0124,57,Finance,Specialist,9,4788,4,3,No
EMP0125,34,IT,Specialist,6,10374,2,3,No
EMP0126,53,R&D,Director,3,6700,3,3,No
EMP0127,28,HR,Specialist,8,13655,2,3,No
EMP0128,43,Sales,Director,13,12359,1,3,No
EMP0129,49,Sales,Analyst,11,6893,4,3,No
EMP0130,23,Sales,Manager,10,9811,2,3,No
EMP0131,27,Sales,Technician,4,12288,4,3,No
EMP0132,49,Finance,Analyst,3,5679,3,3,No
EMP0133,49,Sales,Specialist,12,13039,3,3,No
EMP0134,41,Sales,Technician,6,6904,1,3,Yes
EMP0135,51,R&D,Manager,3,10260,3,3,No
EMP0136,32,R&D,Manager,14,3504,2,3,No
EMP0137,49,R&D,Director,2,12813,3,3,Yes
EMP0138,46,IT,Technician,8,13664,1,3,No
EMP0139,54,R&D,Director,10,13738,4,3,No
EMP0140,22,R&D,Analyst,7,12579,4,3,No
EMP0141,48,Sales,Technician,0,14186,3,3,No
EMP0142,34,Finance,Analyst,6,9773,2,3,No
EMP0143,24,IT,Director,8,6816,1,3,No
EMP0144,27,Finance,Technician,7,3717,2,3,No
EMP0145,29,HR,Director,7,14676,1,3,Yes
EMP0146,48,Sales,Technician,12,7434,3,3,No
EMP0147,30,R&D,Director,5,3658,1,3,No
EMP0148,58,IT,Manager,10,8057,1,3,No
EMP0149,54,Finance,Director,3,7008,3,3,No
EMP0150,45,HR,Manager,7,7994,2,3,No
EMP0151,36,Finance,Director,2,7234,3,3,Yes
EMP0152,53,Finance,Technician,12,6764,1,3,Yes
EMP0153,53,HR,Technician,8,14181,3,4,No
EMP0154,45,IT,Technician,12,7637,1,3,Yes
EMP0155,33,IT,Specialist,1,5104,3,3,No
EMP0156,23,HR,Analyst,1,12447,4,3,No
EMP0157,24,HR,Technician,11,9801,4,3,No
EMP0158,58,R&D,Manager,12,13674,3,3,No
EMP0159,38,HR,Technician,14,11575,2,3,No
EMP0160,23,R&D,Specialist,11,5607,1,3,No
EMP0161,23,Sales,Manager,6,11385,4,4,No
EMP0162,49,IT,Specialist,11,14999,2,3,No
EMP0163,44,Sales,Manager,9,6719,1,3,No
EMP0164,58,Sales,Director,3,5581,4,4,No
EMP0165,53,Sales,Analyst,9,5565,4,3,No
EMP0166,54,R&D,Analyst,7,5763,3,4,No
EMP0167,22,Finance,Specialist,8,13990,1,3,No
EMP0168,40,R&D,Analyst,6,9328,2,4,No
EMP0169,23,R&D,Specialist,4,8991,2,3,Yes
EMP0170,47,Sales,Specialist,7,13531,2,3,No
EMP0171,53,Finance,Specialist,3,6406,1,4,Yes
EMP0172,27,Finance,Analyst,1,11923,2,3,Yes
EMP0173,53,R&D,Specialist,10,14064,2,3,No
EMP0174,25,Sales,Analyst,14,14312,2,3,No
EMP0175,32,Sales,Specialist,11,7780,3,3,Yes
EMP0176,38,HR,Technician,5,7177,3,3,No
EMP0177,59,HR,Specialist,8,9476,1,3,No
EMP0178,45,Sales,Manager,0,5604,1,3,Yes
EMP0179,26,Sales,Specialist,10,11181,2,3,Yes
EMP0180,55,Sales,Director,9,5382,3,3,Yes
EMP0181,27,IT,Specialist,11,3531,4,3,No
EMP0182,43,Sales,Manager,6,9079,4,3,No
EMP0183,32,Sales,Manager,9,3634,2,3,No
EMP0184,37,Sales,Analyst,8,12961,2,3,Yes
EMP0185,54,Sales,Technician,9,14996,3,3,No
EMP0186,30,Finance,Specialist,8,13562,3,3,No
EMP0187,27,Sales,Analyst,9,3002,3,3,No
EMP0188,37,HR,Technician,10,11397,1,3,No
EMP0189,50,Finance,Specialist,12,8951,1,4,Yes
EMP0190,24,Sales,Director,2,13813,2,3,Yes
EMP0191,41,Sales,Specialist,10,8626,1,3,Yes
EMP0192,57,IT,Manager,12,10739,3,3,No
EMP0193,40,Sales,Manager,4,9003,3,3,Yes
EMP0194,47,Sales,Director,7,5890,1,4,Yes
EMP0195,24,IT,Analyst,7,14385,4,3,No
EMP0196,40,R&D,Technician,3,13858,2,3,No
EMP0197,41,R&D,Specialist,14,9239,4,4,No
EMP0198,53,Sales,Manager,14,11026,2,3,No
EMP0199,28,IT,Analyst,11,6306,4,3,No
EMP0200,54,R&D,Director,10,3897,1,3,Yes
EMP0201,39,R&D,Manager,10,12277,2,3,No
EMP0202,22,R&D,Director,0,12471,2,4,No
EMP0203,32,R&D,Specialist,0,3670,2,4,No
EMP0204,49,R&D,Technician,14,10291,3,3,No
EMP0205,46,Sales,Manager,3,4505,3,3,No
EMP0206,44,Sales,Manager,5,9460,4,4,No
EMP0207,52,R&D,Specialist,7,14767,1,3,Yes
EMP0208,51,Sales,Analyst,5,8167,3,3,No
EMP0209,56,R&D,Technician,11,13147,2,4,Yes
EMP0210,28,Sales,Manager,8,8255,3,3,No
EMP0211,37,Sales,Technician,14,3249,1,3,No
EMP0212,47,Finance,Manager,14,9457,3,3,No
EMP0213,23,R&D,Technician,8,4892,2,4,No
EMP0214,22,Sales,Director,13,6439,4,3,No
EMP0215,33,R&D,Manager,1,13045,2,3,Yes
EMP0216,26,IT,Technician,9,5854,1,3,No
EMP0217,58,Finance,Analyst,0,12695,4,3,No
EMP0218,53,Sales,Director,1,14577,3,3,No
EMP0219,30,R&D,Director,4,14763,3,3,No
EMP0220,56,IT,Analyst,3,6792,3,3,No
EMP0221,40,R&D,Technician,3,14618,4,3,No
EMP0222,37,R&D,Specialist,8,8330,2,4,No
EMP0223,24,Sales,Analyst,10,10871,4,3,No
EMP0224,41,R&D,Technician,7,11235,4,4,Yes
EMP0225,45,IT,Analyst,5,6612,1,3,No
EMP0226,54,Finance,Analyst,0,5618,4,3,No
EMP0227,45,R&D,Manager,1,7678,3,3,No
EMP0228,32,Sales,Technician,5,6163,2,3,No
EMP0229,29,IT,Specialist,10,12480,2,4,Yes
EMP0230,57,IT,Manager,1,5942,2,3,Yes
EMP0231,59,HR,Analyst,14,11411,3,3,No
EMP0232,41,IT,Analyst,12,4925,3,3,No
EMP0233,56,IT,Analyst,9,5972,3,3,No
EMP0234,46,Finance,Technician,4,14705,3,3,No
EMP0235,56,R&D,Technician,13,13640,3,3,No
EMP0236,46,Sales,Manager,4,14663,4,3,Yes
EMP0237,50,Finance,Specialist,5,13966,3,3,No
EMP0238,39,R&D,Manager,5,3990,3,3,No
EMP0239,39,Finance,Director,13,14138,3,3,No
EMP0240,23,R&D,Analyst,5,4812,3,3,No
EMP0241,56,R&D,Analyst,13,11995,2,3,No
EMP0242,37,Sales,Analyst,1,3489,3,3,No
EMP0243,57,R&D,Manager,13,14748,4,3,No
EMP0244,54,IT,Manager,9,8876,4,3,No
EMP0245,25,Finance,Analyst,13,12685,4,3,No
EMP0246,54,Finance,Manager,12,6645,1,4,Yes
EMP0247,35,HR,Technician,14,10081,2,3,No
EMP0248,42,R&D,Technician,13,5891,3,3,Yes
EMP0249,41,Sales,Manager,2,12897,1,4,Yes
EMP0250,29,Sales,Analyst,13,6516,3,4,No
EMP0251,28,Sales,Manager,5,6340,1,3,No
EMP0252,24,R&D,Manager,12,9410,1,4,No
EMP0253,38,Sales,Manager,7,3053,4,3,No
EMP0254,54,Sales,Director,11,5575,4,3,Yes
EMP0255,33,IT,Technician,12,14783,1,3,No
EMP0256,43,IT,Specialist,10,3615,4,3,No
EMP0257,43,Sales,Specialist,11,8944,1,3,Yes
EMP0258,51,HR,Director,0,10404,2,3,No
EMP0259,59,Finance,Manager,0,3954,4,3,No
EMP0260,59,R&D,Director,10,13625,4,4,No
EMP0261,29,IT,Director,12,4629,4,4,No
EMP0262,48,IT,Analyst,1,13973,2,3,No
EMP0263,48,Sales,Technician,10,9859,1,4,Yes
EMP0264,55,Sales,Specialist,14,11841,3,4,Yes
EMP0265,42,R&D,Manager,11,13539,4,3,No
EMP0266,51,Sales,Specialist,11,6278,1,3,No
EMP0267,54,R&D,Specialist,5,8455,2,3,No
EMP0268,49,IT,Technician,8,13832,3,4,Yes
EMP0269,54,R&D,Specialist,3,6801,4,3,No
EMP0270,26,Sales,Specialist,2,5561,2,3,Yes
EMP0271,40,IT,Director,11,14441,2,3,No
EMP0272,25,Finance,Technician,7,9539,3,3,No
EMP0273,56,R&D,Analyst,10,3370,1,3,Yes
EMP0274,38,R&D,Manager,9,3857,4,3,No
EMP0275,49,R&D,Specialist,13,7886,4,3,No
EMP0276,51,HR,Manager,8,10485,1,4,Yes
EMP0277,50,R&D,Analyst,11,3383,1,4,Yes
EMP0278,27,Sales,Manager,10,13744,1,3,Yes
EMP0279,56,IT,Analyst,4,7334,3,4,Yes
EMP0280,58,R&D,Director,8,7290,3,3,No
EMP0281,45,IT,Specialist,1,5725,4,3,No
EMP0282,50,IT,Analyst,2,14485,3,3,Yes
EMP0283,52,R&D,Manager,6,9204,2,4,Yes
EMP0284,56,IT,Specialist,6,9111,4,4,No
EMP0285,54,Sales,Director,5,7251,3,3,No
EMP0286,42,IT,Specialist,5,3922,1,4,No
EMP0287,53,Sales,Analyst,1,5915,2,3,Yes
EMP0288,44,HR,Director,9,14142,1,3,No
EMP0289,54,Sales,Manager,5,10957,4,3,No
EMP0290,24,IT,Director,3,6046,1,3,Yes
EMP0291,39,Finance,Director,11,12166,3,3,No
EMP0292,46,Sales,Technician,2,4230,3,4,No
EMP0293,52,IT,Director,12,13627,4,3,No
EMP0294,24,R&D,Director,10,10647,1,3,No
EMP0295,45,R&D,Specialist,12,13006,4,3,No
EMP0296,53,R&D,Manager,1,14126,1,3,Yes
EMP0297,43,Sales,Specialist,0,7933,2,4,No
EMP0298,44,R&D,Specialist,10,12555,3,3,No
EMP0299,23,IT,Analyst,10,6940,4,3,No
EMP0300,48,R&D,Specialist,4,9483,2,4,No
EMP0301,23,HR,Technician,1,3203,2,3,No
EMP0302,47,R&D,Technician,1,3160,4,3,No
EMP0303,38,IT,Analyst,6,11960,4,3,No
EMP0304,54,IT,Manager,7,6748,2,3,No
EMP0305,30,Sales,Manager,12,9718,1,3,Yes
EMP0306,50,IT,Specialist,9,5581,2,3,No
EMP0307,47,R&D,Specialist,7,4093,4,4,No
EMP0308,56,Finance,Specialist,13,7500,2,4,No
EMP0309,46,R&D,Manager,3,11799,1,3,No
EMP0310,45,IT,Director,14,8710,3,3,No
EMP0311,34,R&D,Technician,13,12732,3,4,No
EMP0312,28,Sales,Director,0,5875,2,3,Yes
EMP0313,57,Finance,Director,10,6191,1,3,No
EMP0314,41,R&D,Manager,6,4837,3,3,No
EMP0315,22,R&D,Director,0,3689,2,4,No
EMP0316,29,R&D,Analyst,10,6759,2,3,No
EMP0317,37,Sales,Specialist,3,14141,1,3,Yes
EMP0318,35,Sales,Analyst,7,5103,4,3,No
EMP0319,33,R&D,Technician,1,3365,2,4,Yes
EMP0320,44,Sales,Specialist,5,14767,4,3,No
EMP0321,36,R&D,Director,12,11092,4,4,No
EMP0322,49,Finance,Technician,5,7172,3,3,No
EMP0323,55,R&D,Specialist,11,9033,4,3,No
EMP0324,23,R&D,Director,8,5378,1,3,Yes
EMP0325,53,R&D,Analyst,4,4205,3,3,No
EMP0326,44,Sales,Specialist,9,7988,3,4,No
EMP0327,43,Finance,Director,3,8669,3,3,No
EMP0328,46,Sales,Analyst,4,5735,2,3,Yes
EMP0329,43,R&D,Technician,11,14539,2,3,No
EMP0330,43,Finance,Technician,11,12867,4,3,No
EMP0331,27,Finance,Technician,9,11490,3,3,No
EMP0332,36,R&D,Technician,14,3956,3,3,No
EMP0333,58,Finance,Manager,10,12306,1,4,No
EMP0334,54,IT,Specialist,4,9623,4,3,No
EMP0335,29,R&D,Specialist,7,13697,1,3,Yes
EMP0336,26,Finance,Manager,9,4474,4,3,No
EMP0337,25,Finance,Director,11,7460,4,3,No
EMP0338,27,Sales,Director,7,10002,2,3,No
EMP0339,53,R&D,Technician,1,14918,2,4,Yes
EMP0340,51,R&D,Analyst,6,14663,1,3,No
EMP0341,56,IT,Director,7,9396,4,3,No
EMP0342,37,IT,Analyst,10,5828,3,3,No
EMP0343,34,HR,Specialist,5,5850,2,4,No
EMP0344,51,Sales,Analyst,4,13698,3,3,No
EMP0345,40,HR,Specialist,10,14962,1,3,No
EMP0346,38,Sales,Manager,8,5964,2,3,No
EMP0347,40,Sales,Manager,12,7594,2,3,No
EMP0348,49,R&D,Technician,2,12141,4,3,No
EMP0349,47,Finance,Director,11,9644,1,3,Yes
EMP0350,58,Sales,Technician,12,5850,4,3,No
EMP0351,47,Finance,Specialist,12,3165,2,3,No
EMP0352,44,R&D,Technician,9,14678,1,4,No
EMP0353,30,R&D,Analyst,3,13701,2,3,No
EMP0354,33,R&D,Specialist,8,3919,1,3,Yes
EMP0355,22,Sales,Manager,5,11305,2,3,No
EMP0356,22,IT,Director,7,6504,3,3,No
EMP0357,55,R&D,Specialist,6,3991,3,3,No
EMP0358,53,IT,Specialist,10,9047,4,3,No
EMP0359,46,Sales,Analyst,1,6839,3,3,Yes
EMP0360,22,Finance,Director,2,4258,2,3,Yes
EMP0361,37,R&D,Manager,0,10609,2,4,No
EMP0362,26,Finance,Specialist,8,14618,3,3,Yes
EMP0363,43,Finance,Specialist,12,11706,4,4,No
EMP0364,50,R&D,Analyst,6,7804,3,3,No
EMP0365,24,R&D,Technician,0,14388,1,3,No
EMP0366,33,IT,Manager,2,13776,1,3,No
EMP0367,47,IT,Director,3,3067,1,3,Yes
EMP0368,37,R&D,Specialist,3,12788,3,3,No
EMP0369,58,Finance,Specialist,4,8660,3,3,No
EMP0370,43,IT,Manager,13,7478,3,4,No
EMP0371,50,IT,Technician,2,11210,1,4,Yes
EMP0372,35,IT,Specialist,2,13922,4,3,Yes
EMP0373,49,Finance,Manager,0,6521,2,3,No
EMP0374,26,Sales,Analyst,6,3572,3,3,No
EMP0375,51,Sales,Technician,10,10082,4,3,No
EMP0376,26,Sales,Director,9,10832,2,3,No
EMP0377,33,Finance,Specialist,13,8395,2,4,No
EMP0378,37,Finance,Manager,0,5258,2,3,No
EMP0379,47,R&D,Analyst,1,14094,4,3,No
EMP0380,47,IT,Director,12,9039,4,3,No
EMP0381,42,Finance,Manager,3,3650,1,3,Yes
EMP0382,57,Sales,Manager,12,8741,4,3,Yes
EMP0383,54,Sales,Director,3,9838,4,3,No
EMP0384,51,Sales,Analyst,4,5587,4,3,No
EMP0385,58,R&D,Analyst,10,10876,2,3,No
EMP0386,44,R&D,Technician,1,6262,3,3,No
EMP0387,31,R&D,Specialist,3,4338,1,4,No
EMP0388,26,R&D,Director,0,7996,3,3,No
EMP0389,57,Sales,Director,1,14826,3,3,No
EMP0390,55,Sales,Director,0,8780,4,3,No
EMP0391,52,R&D,Analyst,9,5827,1,3,No
EMP0392,31,Finance,Specialist,9,8232,3,3,No
EMP0393,40,R&D,Technician,12,5217,3,4,No
EMP0394,53,IT,Manager,3,6539,1,3,Yes
EMP0395,22,IT,Manager,3,10845,4,3,No
EMP0396,26,R&D,Director,6,12229,3,3,No
EMP0397,25,Sales,Specialist,9,7383,2,3,No
EMP0398,37,R&D,Analyst,10,5961,3,4,No
EMP0399,45,Sales,Specialist,10,6226,2,4,No
EMP0400,37,HR,Specialist,8,9837,4,3,No
EMP0401,23,R&D,Analyst,8,10031,3,3,No
EMP0402,49,Sales,Director,4,12290,1,3,No
EMP0403,53,R&D,Specialist,9,13516,1,4,No
EMP0404,48,R&D,Manager,0,12131,3,3,No
EMP0405,41,HR,Analyst,0,6716,4,4,No
EMP0406,45,Sales,Technician,5,6414,4,3,No
EMP0407,33,Sales,Director,1,4448,1,3,Yes
EMP0408,56,Sales,Analyst,7,3570,3,3,No
EMP0409,54,IT,Technician,12,5904,4,4,No
EMP0410,54,R&D,Technician,8,5505,1,4,Yes
EMP0411,58,Sales,Specialist,12,3917,2,3,Yes
EMP0412,33,HR,Specialist,3,13066,3,3,No
EMP0413,24,Sales,Specialist,4,9982,2,3,No
EMP0414,22,IT,Analyst,10,10427,2,3,No
EMP0415,54,Finance,Analyst,7,9336,4,3,No
EMP0416,31,HR,Director,2,4678,4,3,Yes
EMP0417,50,Finance,Specialist,4,3615,4,4,No
EMP0418,34,IT,Technician,2,12941,3,3,Yes
EMP0419,33,IT,Manager,11,10086,2,4,No
EMP0420,52,Finance,Director,9,13669,3,3,No
EMP0421,23,Finance,Analyst,2,7749,4,3,Yes
EMP0422,56,R&D,Director,2,6505,2,3,No
EMP0423,44,R&D,Director,12,14667,3,3,No
EMP0424,38,Sales,Director,11,7529,3,3,No
EMP0425,47,R&D,Director,6,4135,1,3,No
EMP0426,29,Sales,Manager,14,11566,3,3,No
EMP0427,50,R&D,Specialist,6,10226,4,3,No
EMP0428,47,Sales,Technician,6,8162,3,3,Yes
EMP0429,31,Finance,Director,9,3206,2,3,No
EMP0430,47,IT,Director,7,7875,3,4,No
EMP0431,55,R&D,Director,4,4319,1,4,No
EMP0432,28,Sales,Specialist,4,4141,2,3,No
EMP0433,25,IT,Analyst,13,7627,2,3,No
EMP0434,32,R&D,Analyst,3,10389,1,3,Yes
EMP0435,50,Finance,Manager,6,5690,4,4,No
EMP0436,57,Sales,Analyst,9,10323,2,3,No
EMP0437,46,Sales,Director,3,6255,4,3,No
EMP0438,42,IT,Director,14,11281,2,3,No
EMP0439,57,R&D,Director,1,8213,2,3,No
EMP0440,31,HR,Manager,3,7108,4,3,No
EMP0441,58,Finance,Director,12,6020,2,3,No
EMP0442,30,R&D,Analyst,12,4857,4,3,No
EMP0443,45,HR,Specialist,7,11996,1,3,Yes
EMP0444,56,IT,Specialist,8,12136,4,3,No
EMP0445,56,R&D,Technician,2,5789,1,3,Yes
EMP0446,57,IT,Analyst,6,6875,2,4,No
EMP0447,39,Sales,Director,13,10605,4,3,No
EMP0448,53,HR,Specialist,11,12802,2,4,No
EMP0449,45,HR,Analyst,13,11135,4,3,Yes
EMP0450,44,R&D,Specialist,8,14115,1,3,No
EMP0451,53,IT,Director,10,9055,1,4,No
EMP0452,58,IT,Specialist,3,6882,4,3,No
EMP0453,33,HR,Technician,9,14413,1,4,No
EMP0454,34,Finance,Technician,14,10175,2,3,No
EMP0455,44,HR,Specialist,2,10129,2,4,No
EMP0456,46,Sales,Analyst,4,8021,3,3,No
EMP0457,56,HR,Analyst,0,7735,1,3,Yes
EMP0458,51,Sales,Analyst,2,5387,2,3,Yes
EMP0459,38,Sales,Specialist,14,9582,4,4,Yes
EMP0460,41,Finance,Analyst,7,12133,1,4,Yes
EMP0461,46,Sales,Director,10,8866,2,4,No
EMP0462,43,R&D,Technician,7,5566,1,4,No
EMP0463,34,R&D,Director,14,3975,4,3,No
EMP0464,40,Sales,Analyst,12,10212,2,3,No
EMP0465,57,Finance,Director,3,12146,3,3,No
EMP0466,33,Sales,Analyst,1,4262,3,3,No
EMP0467,40,HR,Specialist,12,8047,1,3,No
EMP0468,33,Sales,Director,7,12135,4,3,Yes
EMP0469,30,HR,Specialist,7,13394,2,3,No
EMP0470,28,Sales,Specialist,9,10382,4,3,No
EMP0471,49,Sales,Manager,3,9231,2,3,Yes
EMP0472,35,Finance,Analyst,2,6327,1,3,Yes
EMP0473,52,IT,Technician,1,8630,2,3,No
EMP0474,40,Sales,Analyst,8,5259,4,3,No
EMP0475,37,R&D,Technician,0,13020,4,3,No
EMP0476,26,R&D,Analyst,6,4257,1,3,No
EMP0477,56,R&D,Specialist,4,3464,4,3,No
EMP0478,33,HR,Director,7,6294,2,3,No
EMP0479,46,Sales,Director,3,9774,1,3,No
EMP0480,42,Sales,Manager,6,10431,2,3,No
EMP0481,57,Sales,Technician,12,4230,4,3,No
EMP0482,44,R&D,Technician,4,13846,1,3,No
EMP0483,37,Sales,Technician,14,12076,2,3,No
EMP0484,35,R&D,Specialist,13,6805,4,4,No
EMP0485,52,Sales,Technician,4,9419,4,4,Yes
EMP0486,26,R&D,Director,13,8750,3,3,Yes
EMP0487,56,Finance,Specialist,8,6856,4,3,Yes
EMP0488,44,R&D,Analyst,8,6135,2,3,No
EMP0489,50,IT,Technician,12,9953,1,3,Yes
EMP0490,32,Sales,Technician,8,12116,3,4,No
EMP0491,39,Finance,Analyst,11,9034,4,3,No
EMP0492,33,HR,Technician,5,7589,4,3,No
EMP0493,30,Finance,Analyst,5,4546,4,3,No
EMP0494,31,Finance,Specialist,4,9065,2,4,No
EMP0495,38,Sales,Director,8,4094,3,3,No
EMP0496,59,Sales,Analyst,9,5411,2,3,No
EMP0497,28,Sales,Manager,7,5617,3,3,No
EMP0498,34,Sales,Analyst,6,11954,1,3,No
EMP0499,30,R&D,Technician,6,13515,2,3,No
EMP0500,48,Sales,Specialist,5,7145,2,3,Yes
EMP0501,23,HR,Specialist,4,5775,1,4,Yes
EMP0502,26,Sales,Analyst,12,9628,3,4,Yes
EMP0503,50,Finance,Director,3,6155,4,4,No
EMP0504,58,HR,Manager,2,6970,1,3,Yes
EMP0505,59,IT,Specialist,2,10972,4,4,No
EMP0506,40,R&D,Technician,5,13232,4,3,Yes
